"resource_type","display_name","region","lifecycle_state","compartment_id","ocid","time_created","freeform_tags","defined_tags"
"Policy","CloudGuardPolicies",,"ACTIVE","ocid1.tenancy.oc19..aaaaaaaa4ftkyx3ao73kndo3mbltj6gtbf27mxbgpu65a33ipgo2wqyj4zba","ocid1.policy.oc19..aaaaaaaajd4wit46ktg344vl7p4tfoshfz7kbujnlq5j5ddrosmb2boo7ijq","2026-05-29T07:37:52.417000+00:00","{}","{""Oracle-Tags"":{""CreatedBy"":""o-p-om2-id-common-001/jorge-eduardo.torlaschi@at.seg-social.es"",""CreatedOn"":""2026-05-29T07:37:52.385Z""}}"
"Policy","o-p-om2-pcy-mktpl-001",,"ACTIVE","ocid1.tenancy.oc19..aaaaaaaa4ftkyx3ao73kndo3mbltj6gtbf27mxbgpu65a33ipgo2wqyj4zba","ocid1.policy.oc19..aaaaaaaajcg6iwjlvnnfojm3mgesto6bzbnj6pamzwwcrlbfedzoqjvc5gzq","2026-04-21T10:10:42.525000+00:00","{""ocilz-terraform-module"":""iam-policies/0.3.4""}","{""Oracle-Tags"":{""CreatedBy"":""default/jorge.e.torlaschi@accenture.com"",""CreatedOn"":""2026-04-21T10:10:42.497Z""}}"
"Policy","o-p-om2-pcy-osadm-001",,"ACTIVE","ocid1.tenancy.oc19..aaaaaaaa4ftkyx3ao73kndo3mbltj6gtbf27mxbgpu65a33ipgo2wqyj4zba","ocid1.policy.oc19..aaaaaaaa3wd62tu3ysigprsk23oadqw77o5gfem5mkytkhq7qs7hc6zy7mya","2026-04-07T15:16:09.115000+00:00","{""ocilz-terraform-module"":""iam-policies/0.3.4""}","{""Oracle-Tags"":{""CreatedBy"":""default/jorge.e.torlaschi@accenture.com"",""CreatedOn"":""2026-04-07T15:16:09.111Z""}}"
"Policy","o-p-om2-pcy-monit-001",,"ACTIVE","ocid1.tenancy.oc19..aaaaaaaa4ftkyx3ao73kndo3mbltj6gtbf27mxbgpu65a33ipgo2wqyj4zba","ocid1.policy.oc19..aaaaaaaaj2kskvm4ewjukys4ek4cfmgygrccdtkqg64tdmhf5bltsr6xcyrq","2026-04-07T15:16:09.080000+00:00","{""ocilz-terraform-module"":""iam-policies/0.3.4""}","{""Oracle-Tags"":{""CreatedBy"":""default/jorge.e.torlaschi@accenture.com"",""CreatedOn"":""2026-04-07T15:16:09.076Z""}}"
"Policy","o-p-om2-pcy-stora-001",,"ACTIVE","ocid1.tenancy.oc19..aaaaaaaa4ftkyx3ao73kndo3mbltj6gtbf27mxbgpu65a33ipgo2wqyj4zba","ocid1.policy.oc19..aaaaaaaamoie5vsiedi32odiku54acf7u2j53xdibgqr7jobqd7ntgqwxhla","2026-04-07T15:16:08.956000+00:00","{""ocilz-terraform-module"":""iam-policies/0.3.4""}","{""Oracle-Tags"":{""CreatedBy"":""default/jorge.e.torlaschi@accenture.com"",""CreatedOn"":""2026-04-07T15:16:08.946Z""}}"
"Policy","o-p-om2-pcy-billv-001",,"ACTIVE","ocid1.tenancy.oc19..aaaaaaaa4ftkyx3ao73kndo3mbltj6gtbf27mxbgpu65a33ipgo2wqyj4zba","ocid1.policy.oc19..aaaaaaaah4udlb2ei2g5s3ycqxhhneib5yi67glvfp3utxrerppe7rdofhkq","2026-04-07T15:08:00.011000+00:00","{""ocilz-terraform-module"":""iam-policies/0.3.4""}","{""Oracle-Tags"":{""CreatedBy"":""default/jorge.e.torlaschi@accenture.com"",""CreatedOn"":""2026-04-07T15:07:59.935Z""}}"
"Policy","o-p-om2-pcy-tenantadmin-001",,"ACTIVE","ocid1.tenancy.oc19..aaaaaaaa4ftkyx3ao73kndo3mbltj6gtbf27mxbgpu65a33ipgo2wqyj4zba","ocid1.policy.oc19..aaaaaaaaaglw5a3wq2yysld6nvnepuizdp4adegscd6zbmpmceshlpypfrhq","2026-04-07T15:07:59.915000+00:00","{""ocilz-terraform-module"":""iam-policies/0.3.4""}","{""Oracle-Tags"":{""CreatedBy"":""default/jorge.e.torlaschi@accenture.com"",""CreatedOn"":""2026-04-07T15:07:59.908Z""}}"
"Policy","o-p-om2-pcy-viewer-001",,"ACTIVE","ocid1.tenancy.oc19..aaaaaaaa4ftkyx3ao73kndo3mbltj6gtbf27mxbgpu65a33ipgo2wqyj4zba","ocid1.policy.oc19..aaaaaaaa3yiyiynuhe47chu5vpqme2hk2f5ry4q3ebks2m5dhkd34zu654va","2026-04-07T15:07:59.670000+00:00","{""ocilz-terraform-module"":""iam-policies/0.3.4""}","{""Oracle-Tags"":{""CreatedBy"":""default/jorge.e.torlaschi@accenture.com"",""CreatedOn"":""2026-04-07T15:07:59.664Z""}}"
"Policy","o-p-om2-pcy-nadm-001",,"ACTIVE","ocid1.compartment.oc19..aaaaaaaa43gu35rhrbtmirjlkxilrma3v5s2bqzhico4up6jvstnluiud3oa","ocid1.policy.oc19..aaaaaaaau7hj5voz2en3kpe4yqdsydyxy2s6ocdxlptsup3vwugugvdvunva","2026-03-10T14:42:39.668000+00:00","{""ocilz-terraform-module"":""iam-policies/0.3.4""}","{""Oracle-Tags"":{""CreatedBy"":""default/jorge.e.torlaschi@accenture.com"",""CreatedOn"":""2026-03-10T14:42:39.469Z""}}"
"Policy","o-p-om2-pcy-edb-001",,"ACTIVE","ocid1.compartment.oc19..aaaaaaaa43gu35rhrbtmirjlkxilrma3v5s2bqzhico4up6jvstnluiud3oa","ocid1.policy.oc19..aaaaaaaa6mkjpk4romgxowgqgwkzobk67ysco6bdmkfwcfotk6uy5w6fcwlq","2026-03-10T14:42:39.572000+00:00","{""ocilz-terraform-module"":""iam-policies/0.3.4""}","{""Oracle-Tags"":{""CreatedBy"":""default/jorge.e.torlaschi@accenture.com"",""CreatedOn"":""2026-03-10T14:42:39.472Z""}}"
