"resource_type","display_name","region","lifecycle_state","compartment_id","ocid","time_created","freeform_tags","defined_tags"
"CustomerDnsZone","oci.cloud.ss",,"ACTIVE","ocid1.compartment.oc19..aaaaaaaa5gtrrkqmob4ummcgl52exbo4d4vf55uvlzdku5j4fammf3b2pmlq","ocid1.dns-zone.oc19.eu-madrid-2.aaaaaaaas7v35ilhvrvf3apac3xnvqlcxdmm3jxqrn6jw7jffzbge2etwv5a","22/05/2026 13:33:17","{}","{""Oracle-Tags"":{""CreatedBy"":""o-p-om2-id-common-001/jorge-eduardo.torlaschi@at.seg-social.es"",""CreatedOn"":""2026-05-22T11:33:17.229Z""},""o-p-om2-tagns-gov-001"":{""iac"":""no""}}"
"CustomerDnsZone","opom2subexapcli.opom2vcnexacpro.oraclevcn.com",,"ACTIVE","ocid1.compartment.oc19..aaaaaaaa5gtrrkqmob4ummcgl52exbo4d4vf55uvlzdku5j4fammf3b2pmlq","ocid1.dns-zone.oc19.eu-madrid-2.aaaaaaaajr3gggrtokzvf5br43laog56kevskodmnrbgfygfwoylvqq3wuwq","10/03/2026 15:42:53","{""ocilz-terraform-module"":""networking/0.8.1""}","{""Oracle-Tags"":{""CreatedBy"":""default/jorge.e.torlaschi@accenture.com"",""CreatedOn"":""2026-03-10T14:42:50.248Z""}}"
"CustomerDnsZone","opom2snhubfw.opom2vcnhub.oraclevcn.com",,"ACTIVE","ocid1.compartment.oc19..aaaaaaaa5gtrrkqmob4ummcgl52exbo4d4vf55uvlzdku5j4fammf3b2pmlq","ocid1.dns-zone.oc19.eu-madrid-2.aaaaaaaacpw3zsjgy6qabep5xzofaucketldorjzwsiynfmaxsvcfef5o2na","10/03/2026 15:42:53","{""ocilz-terraform-module"":""networking/0.8.1""}","{""Oracle-Tags"":{""CreatedBy"":""default/jorge.e.torlaschi@accenture.com"",""CreatedOn"":""2026-03-10T14:42:50.248Z""}}"
"CustomerDnsZone","onpom2snexnpbck.opom2vcnexanpr.oraclevcn.com",,"ACTIVE","ocid1.compartment.oc19..aaaaaaaa5gtrrkqmob4ummcgl52exbo4d4vf55uvlzdku5j4fammf3b2pmlq","ocid1.dns-zone.oc19.eu-madrid-2.aaaaaaaat7rabolh4s4sasinaelre3e4jkwn2a62z4eahverrffyoc7vm3sa","10/03/2026 15:42:52","{""ocilz-terraform-module"":""networking/0.8.1""}","{""Oracle-Tags"":{""CreatedBy"":""default/jorge.e.torlaschi@accenture.com"",""CreatedOn"":""2026-03-10T14:42:50.449Z""}}"
"CustomerDnsZone","opom2snhubdns.opom2vcnhub.oraclevcn.com",,"ACTIVE","ocid1.compartment.oc19..aaaaaaaa5gtrrkqmob4ummcgl52exbo4d4vf55uvlzdku5j4fammf3b2pmlq","ocid1.dns-zone.oc19.eu-madrid-2.aaaaaaaavqlby65hq5az4id6fix3houistiwzwqwbxfnjrz43ps7ppf6p2gq","10/03/2026 15:42:52","{""ocilz-terraform-module"":""networking/0.8.1""}","{""Oracle-Tags"":{""CreatedBy"":""default/jorge.e.torlaschi@accenture.com"",""CreatedOn"":""2026-03-10T14:42:50.248Z""}}"
"CustomerDnsZone","onpom2snexnpcli.opom2vcnexanpr.oraclevcn.com",,"ACTIVE","ocid1.compartment.oc19..aaaaaaaa5gtrrkqmob4ummcgl52exbo4d4vf55uvlzdku5j4fammf3b2pmlq","ocid1.dns-zone.oc19.eu-madrid-2.aaaaaaaanw7ochqygyco7zo3bogdyjrc64aw6qwltuzjuta6ntay525gb5da","10/03/2026 15:42:52","{""ocilz-terraform-module"":""networking/0.8.1""}","{""Oracle-Tags"":{""CreatedBy"":""default/jorge.e.torlaschi@accenture.com"",""CreatedOn"":""2026-03-10T14:42:50.449Z""}}"
"CustomerDnsZone","opom2snhubmm.opom2vcnhub.oraclevcn.com",,"ACTIVE","ocid1.compartment.oc19..aaaaaaaa5gtrrkqmob4ummcgl52exbo4d4vf55uvlzdku5j4fammf3b2pmlq","ocid1.dns-zone.oc19.eu-madrid-2.aaaaaaaanl3veaznoz6d2uyau4wqhjl2mtnyzkovlvumemqhewamdwr777va","10/03/2026 15:42:51","{""ocilz-terraform-module"":""networking/0.8.1""}","{""Oracle-Tags"":{""CreatedBy"":""default/jorge.e.torlaschi@accenture.com"",""CreatedOn"":""2026-03-10T14:42:50.248Z""}}"
"CustomerDnsZone","opom2snhubmgmt.opom2vcnhub.oraclevcn.com",,"ACTIVE","ocid1.compartment.oc19..aaaaaaaa5gtrrkqmob4ummcgl52exbo4d4vf55uvlzdku5j4fammf3b2pmlq","ocid1.dns-zone.oc19.eu-madrid-2.aaaaaaaary3fwrei765pbtqstrfeloqcx7l2xpambur6yuqhwt757ymkpa3q","10/03/2026 15:42:51","{""ocilz-terraform-module"":""networking/0.8.1""}","{""Oracle-Tags"":{""CreatedBy"":""default/jorge.e.torlaschi@accenture.com"",""CreatedOn"":""2026-03-10T14:42:50.248Z""}}"
"CustomerDnsZone","opom2subexapbck.opom2vcnexacpro.oraclevcn.com",,"ACTIVE","ocid1.compartment.oc19..aaaaaaaa5gtrrkqmob4ummcgl52exbo4d4vf55uvlzdku5j4fammf3b2pmlq","ocid1.dns-zone.oc19.eu-madrid-2.aaaaaaaadd2lq4zj3o6ytm46wo2dvqpukbztjvpcmbzl4kpfjhz44nxbznvq","10/03/2026 15:42:51","{""ocilz-terraform-module"":""networking/0.8.1""}","{""Oracle-Tags"":{""CreatedBy"":""default/jorge.e.torlaschi@accenture.com"",""CreatedOn"":""2026-03-10T14:42:50.248Z""}}"
"CustomerDnsZone","129.197.10.in-addr.arpa",,"ACTIVE","ocid1.compartment.oc19..aaaaaaaa5gtrrkqmob4ummcgl52exbo4d4vf55uvlzdku5j4fammf3b2pmlq","ocid1.dns-zone.oc19.eu-madrid-2.aaaaaaaau442qyxnlqqwofli6tkhulhblopk7iyjq7gz5rfn75h7rfdsccaq","10/03/2026 15:42:41","{""ocilz-terraform-module"":""networking/0.8.1""}","{""Oracle-Tags"":{""CreatedBy"":""default/jorge.e.torlaschi@accenture.com"",""CreatedOn"":""2026-03-10T14:42:39.23Z""}}"
